"Rtot_PMMApaint_CaCO3_15vv - RawData"
"Wavelength nm.","R%"
1199.00,75.161
1200.00,75.178
1201.00,75.149
1202.00,75.151
1203.00,75.142
1204.00,75.178
1205.00,75.198
1206.00,75.248
1207.00,75.257
1208.00,75.315
1209.00,75.335
1210.00,75.338
1211.00,75.305
1212.00,75.295
1213.00,75.382
1214.00,75.379
1215.00,75.417
1216.00,75.403
1217.00,75.458
1218.00,75.468
1219.00,75.483
1220.00,75.447
1221.00,75.470
1222.00,75.448
1223.00,75.437
1224.00,75.388
1225.00,75.391
1226.00,75.458
1227.00,75.476
1228.00,75.522
1229.00,75.539
1230.00,75.624
1231.00,75.621
1232.00,75.608
1233.00,75.570
1234.00,75.584
1235.00,75.576
1236.00,75.639
1237.00,75.642
1238.00,75.684
1239.00,75.618
1240.00,75.677
1241.00,75.662
1242.00,75.659
1243.00,75.566
1244.00,75.535
1245.00,75.537
1246.00,75.589
1247.00,75.640
1248.00,75.690
1249.00,75.687
1250.00,75.669
1251.00,75.628
1252.00,75.581
1253.00,75.583
1254.00,75.599
1255.00,75.661
1256.00,75.703
1257.00,75.713
1258.00,75.658
1259.00,75.619
1260.00,75.645
1261.00,75.684
1262.00,75.697
1263.00,75.720
1264.00,75.735
1265.00,75.801
1266.00,75.777
1267.00,75.822
1268.00,75.811
1269.00,75.867
1270.00,75.848
1271.00,75.852
1272.00,75.803
1273.00,75.809
1274.00,75.799
1275.00,75.819
1276.00,75.780
1277.00,75.845
1278.00,75.887
1279.00,75.945
1280.00,75.940
1281.00,75.938
1282.00,75.990
1283.00,75.985
1284.00,76.029
1285.00,76.013
1286.00,76.037
1287.00,76.007
1288.00,75.988
1289.00,75.971
1290.00,76.018
1291.00,76.126
1292.00,76.201
1293.00,76.196
1294.00,76.129
1295.00,76.049
1296.00,76.071
1297.00,76.081
1298.00,76.102
1299.00,76.106
1300.00,76.103
1301.00,76.139
1302.00,76.144
1303.00,76.179
1304.00,76.235
1305.00,76.237
1306.00,76.263
1307.00,76.245
1308.00,76.222
1309.00,76.204
1310.00,76.259
1311.00,76.369
1312.00,76.417
1313.00,76.351
1314.00,76.344
1315.00,76.401
1316.00,76.468
1317.00,76.446
1318.00,76.416
1319.00,76.446
1320.00,76.427
1321.00,76.438
1322.00,76.364
1323.00,76.447
1324.00,76.502
1325.00,76.584
1326.00,76.564
1327.00,76.575
1328.00,76.596
1329.00,76.654
1330.00,76.673
1331.00,76.764
1332.00,76.791
1333.00,76.884
1334.00,76.847
1335.00,76.901
1336.00,76.888
1337.00,76.921
1338.00,76.920
1339.00,76.959
1340.00,76.942
1341.00,76.944
1342.00,76.938
1343.00,77.034
1344.00,77.099
1345.00,77.127
1346.00,77.185
1347.00,77.160
1348.00,77.158
1349.00,77.091
1350.00,77.153
1351.00,77.153
1352.00,77.214
1353.00,77.284
1354.00,77.380
1355.00,77.466
1356.00,77.427
1357.00,77.419
1358.00,77.299
1359.00,77.254
1360.00,77.323
1361.00,77.450
1362.00,77.473
1363.00,77.469
1364.00,77.416
1365.00,77.482
1366.00,77.407
1367.00,77.503
1368.00,77.604
1369.00,77.709
1370.00,77.714
1371.00,77.747
1372.00,77.771
1373.00,77.797
1374.00,77.865
1375.00,77.955
1376.00,78.057
1377.00,78.074
1378.00,78.129
1379.00,78.202
1380.00,78.237
1381.00,78.290
1382.00,78.351
1383.00,78.385
1384.00,78.345
1385.00,78.309
1386.00,78.436
1387.00,78.499
1388.00,78.581
1389.00,78.525
1390.00,78.622
1391.00,78.678
1392.00,78.775
1393.00,78.779
1394.00,78.787
1395.00,78.804
1396.00,78.850
1397.00,78.907
1398.00,78.973
1399.00,79.080
1400.00,79.141
