"Tdif_PMMApaint_15vv - RawData"
"Wavelength nm.","T%"
1161.00,10.373
1162.00,10.378
1163.00,10.412
1164.00,10.447
1165.00,10.489
1166.00,10.492
1167.00,10.508
1168.00,10.492
1169.00,10.465
1170.00,10.475
1171.00,10.491
1172.00,10.545
1173.00,10.523
1174.00,10.522
1175.00,10.491
1176.00,10.482
1177.00,10.497
1178.00,10.465
1179.00,10.479
1180.00,10.470
1181.00,10.490
1182.00,10.462
1183.00,10.446
1184.00,10.445
1185.00,10.444
1186.00,10.398
1187.00,10.379
1188.00,10.393
1189.00,10.434
1190.00,10.434
1191.00,10.433
1192.00,10.425
1193.00,10.448
1194.00,10.440
1195.00,10.431
1196.00,10.436
1197.00,10.472
1198.00,10.456
1199.00,10.450
1200.00,10.392
1201.00,10.435
1202.00,10.396
1203.00,10.419
1204.00,10.424
1205.00,10.463
1206.00,10.497
1207.00,10.505
1208.00,10.511
1209.00,10.523
1210.00,10.530
1211.00,10.588
1212.00,10.604
1213.00,10.639
1214.00,10.640
1215.00,10.661
1216.00,10.672
1217.00,10.677
1218.00,10.694
1219.00,10.686
1220.00,10.703
1221.00,10.704
1222.00,10.691
1223.00,10.661
1224.00,10.665
1225.00,10.727
1226.00,10.757
1227.00,10.770
1228.00,10.804
1229.00,10.851
1230.00,10.845
1231.00,10.812
1232.00,10.814
1233.00,10.821
1234.00,10.831
1235.00,10.841
1236.00,10.877
1237.00,10.907
1238.00,10.913
1239.00,10.927
1240.00,10.933
1241.00,10.941
1242.00,10.945
1243.00,10.937
1244.00,10.899
1245.00,10.878
1246.00,10.877
1247.00,10.885
1248.00,10.906
1249.00,10.924
1250.00,10.957
1251.00,10.978
1252.00,10.988
1253.00,10.994
1254.00,11.002
1255.00,11.002
1256.00,10.995
1257.00,10.991
1258.00,11.020
1259.00,11.016
1260.00,10.986
1261.00,10.971
1262.00,10.993
1263.00,11.014
1264.00,11.018
1265.00,11.043
1266.00,11.087
1267.00,11.110
1268.00,11.093
1269.00,11.088
1270.00,11.095
1271.00,11.135
